Title,Company,URL,Applicants,Match Score
Intern_Software Engineer,Cubic Corporation,https://www.linkedin.com/jobs/search/?currentJobId=4354688406&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD,9,8.5
Data Analytics Engineer,Harnham,https://www.linkedin.com/jobs/search/?currentJobId=4358334798&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD,9,8.5
Senior ETL Developer - Supply Chain & Infrastructure (Remote),Ferguson,https://www.linkedin.com/jobs/search/?currentJobId=4358196729&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD,5,8.5
Activation Solution Engineer,Snowflake,https://www.linkedin.com/jobs/search/?currentJobId=4358373807&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD&start=25,16,8.5
Application Developer Levels 1-5 - Data and AI Engineering,Metropolitan Transportation Authority,https://www.linkedin.com/jobs/search/?currentJobId=4330378179&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD&start=25,51,8.5
Software Engineer - Model Performance,Baseten,https://www.linkedin.com/jobs/search/?currentJobId=4338871963&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD&start=25,422,8.5
"FID, Municipal Securities, Full Stack Developer – Associate",Morgan Stanley,https://www.linkedin.com/jobs/search/?currentJobId=4323287936&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD&start=25,406,8.5
AI Data Scientist,Collabera,https://www.linkedin.com/jobs/search/?currentJobId=4330793604&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD,34,8.5
Generative AI Engineer,AgreeYa Solutions,https://www.linkedin.com/jobs/search/?currentJobId=4330823791&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD,11,8.5
Data Governance Engineer,Fractal,https://www.linkedin.com/jobs/search/?currentJobId=4327986384&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD,312,8.5
Backend Developer,"AppCard, Inc.",https://www.linkedin.com/jobs/search/?currentJobId=4350955262&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD,615,8.5
AI Engineer Intern (USPS) - Summer 2026,LMI,https://www.linkedin.com/jobs/search/?currentJobId=4358433692&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD,4,8.5
Core Systems Developer,People First Federal Credit Union,https://www.linkedin.com/jobs/search/?currentJobId=4358309450&f_E=1%2C2%2C3&f_TPR=r86400&keywords=AI%20Engineer&location=United%20States&sortBy=DD,0,8.5
